
## METRICS CLASS	org.broadinstitute.dropseqrna.readtrimming.TrimStartingSequence$TrimMetric
mean	stdev
13.455831	5.419216

## HISTOGRAM	java.lang.Integer
BIN	VALUE
5	110069
6	78420
7	1185097
8	10229
9	2107997
10	18165
11	2008879
12	8393
13	38388
14	17911
15	129018
16	917924
17	454661
18	175341
19	65610
20	196336
21	1060409
22	777632
23	245807
24	61
25	4161
26	8
27	4
28	11
30	1
33	2
35	8
36	1
37	2
39	4
41	6
45	1

