
## METRICS CLASS	org.broadinstitute.dropseqrna.readtrimming.TrimStartingSequence$TrimMetric
mean	stdev
14.036865	5.646109

## HISTOGRAM	java.lang.Integer
BIN	VALUE
5	118432
6	78841
7	1263049
8	12143
9	2277273
10	20275
11	2114700
12	9777
13	42177
14	20738
15	150018
16	952041
17	502446
18	194708
19	71289
20	221413
21	1351711
22	1256069
23	367477
24	89
25	4205
26	12
27	5
28	6
30	1
32	1
33	1
36	1
39	1
50	4

