
## METRICS CLASS	org.broadinstitute.dropseqrna.readtrimming.TrimStartingSequence$TrimMetric
mean	stdev
13.824747	5.592495

## HISTOGRAM	java.lang.Integer
BIN	VALUE
5	59802
6	42208
7	605624
8	5612
9	1065194
10	10874
11	1018030
12	4891
13	20840
14	9521
15	66923
16	454313
17	232067
18	89937
19	33759
20	99368
21	590929
22	534329
23	163213
24	40
25	2716
26	3
27	5
30	3
32	1
33	1
35	1
37	5
39	5
41	3
46	4
48	1

